title,text
Brenton Tarrant,"On 15 March 2019, two consecutive mass shootings occurred in a terrorist attack on two mosques in Christchurch, New Zealand. The attacks, carried out by a lone gunman who entered both mosques during Friday prayer, began at the Al Noor Mosque in the suburb of Riccarton at 1:40 pm and continued at the Linwood Islamic Centre at 1:52 pm. 51 people were killed and 40 were injured. The gunman, 28-year-old Brenton Harrison Tarrant from Grafton, New South Wales, Australia, was arrested after his vehicle was rammed by a police unit as he was driving to a third mosque in Ashburton. He was described in media reports as a white supremacist. He had live-streamed the first shooting on Facebook, and prior to the attack, had published an online manifesto; both the video and manifesto were subsequently banned in New Zealand and Australia. On 26 March 2020, he pleaded guilty to 51 murders, 40 attempted murders, and engaging in a terrorist act, and in August was sentenced to life imprisonment without the possibility of parole – the first such sentence in New Zealand. The attack was linked to an increase in white supremacy and alt-right extremism globally observed since about 2015. Politicians and world leaders condemned it, and Prime Minister Jacinda Ardern described it as ""one of New Zealand's darkest days"". The government established a royal commission into its security agencies in the wake of the shootings, which were the deadliest in modern New Zealand history and the worst ever committed by an Australian national. The commission submitted its report to the government on 26 November 2020, the details of which were made public on 7 December. New Zealand has been considered a safe and tolerant place with low levels of gun violence and was named the second-most peaceful country in the world by Global Peace Index in 2019, the year of the attacks. This attack was the first mass shooting in the country since the Raurimu massacre in 1997; prior to that, the deadliest public mass shooting was the 1990 Aramoana massacre, in which 13 people died. While New Zealand has rarely been associated with far-right extremism, experts have suggested it has been growing there. Sociologist Paul Spoonley called Christchurch a hotbed for white supremacists and the extreme nationalist movement, a suggestion rejected by Christchurch-based MP Gerry Brownlee. Australia, where the gunman, Brenton Tarrant, was from, has also seen an increase in xenophobia, racism, and Islamophobia. In the 2018 census, some 57,000 New Zealand residents reported their religion as Islam. The Al Noor Mosque, the first mosque in the South Island, opened in 1985. The Linwood Islamic Centre opened in early 2018. On 15 March 2019, at 1:40 pm, Tarrant entered the Al Noor Mosque in Riccarton and began shooting. Approximately 190 people, mostly men, were attending Friday prayer at the time. Tarrant live-streamed for 17 minutes on Facebook Live, starting with the drive to the Al Noor mosque and ending as he drove away. Just before the shooting, he played several songs, including ""Remove Kebab"", a Serb nationalist and anti-Muslim song; and ""The British Grenadiers"", a traditional British military marching song. During the shooting, he continued to play ""military music"" from a portable speaker attached to a tactical vest he was wearing. As Tarrant approached the mosque, a worshipper greeted him with ""Hello, brother"". Tarrant fired a Mossberg 930 semiautomatic shotgun nine times towards the front entrance from outside, killing the worshipper."
Pugachev'S Rebellion,"The rebellion managed to consolidate support from various groups including the peasants, the Cossacks, and Old Believers priesthood. At one point, its administration claimed control over most of the territory between the Volga River and the Urals. One of the most significant events of the insurrection was the Battle of Kazan in July 1774. Government forces failed to respond effectively to the insurrection at first, partly due to logistical difficulties and a failure to appreciate its scale. However, the revolt was crushed towards the end of 1774 by General Michelsohn at Tsaritsyn. Pugachev was captured soon after and executed in Moscow in January 1775. Further reprisals against rebel areas were carried out by General Peter Panin. The events have generated many stories in legend and literature, most notably Pushkin's historical novel The Captain's Daughter. It was the largest peasant revolt in the history of the Russian Empire. As the Russian monarchy contributed to the degradation of the serfs, peasant anger ran high. Peter the Great ceded entire villages to favored nobles, while Catherine the Great confirmed the authority of the nobles over the serfs in return for the nobles' political cooperation. The unrest intensified as the 18th century wore on, with more than fifty peasant revolts occurring between 1762 and 1769. These culminated in Pugachev's Rebellion, when, between 1773 and 1775, Yemelyan Pugachev rallied the peasants and Cossacks and promised the serfs land of their own and freedom from their lords. There were various pressures on Russian serfs during the 18th century, which induced them to follow Pugachev. The peasantry in Russia were no longer bound to the land, but tied to their owner. The connecting links that had existed between the peasant community and the tsar, which had been diminishing, was broken by the interposition of the serf owners; these private lords or agents of the Church or state who owned the land blocked serfs' access to the political authority. Many nobles returned to their estates after 1762 and imposed harsher rules on their peasants. The relationship between peasant and ruler was cut off most dramatically in the decree of 1767, which completely prohibited direct petitions to the empress from the peasantry. The peasants were also subject to an increase in indirect taxes due to the increase in the state's requirements. In addition, a strong inflationary trend resulted in higher prices on all goods. The peasants felt abandoned by the ""modern"" state. They were living in desperate circumstances and had no way to change their situation, having lost all possibilities for political redress. There were natural disasters in Russia during the 18th century, which also added strain on the peasants. Frequent recurrence of crop failures, plagues and epidemics created economic and social instability. The most dramatic was the 1771 epidemic in Moscow, which brought to the surface all the unconscious and unfocused fears and panics of the populace. Each ruler altered the position of the Church, which created more pressure. Peter the Great gave the Church new obligations, while its administration assimilated to a department of the secular state. The Church's resources, or the means of collection, could not meet the new obligations and as a consequence, they heavily exploited and poorly administered their serfs. The unrest spurred constant revolt among Church serfs. Pugachev's image according to folk memory and contemporary legends was one of a pretender-liberator. As Peter III, he was seen as Christ-like and saintly because he had meekly accepted his dethronement by his evil wife Catherine II and her courtiers. He had not resisted his overthrow, but had left to wander the world."
Kingdom Of Naples,"As part of the Italian Wars, France went to war with Aragon over the kingdom in 1502, the war ended in an Aragonese victory that left Ferdinand II in full control of the kingdom by 1504. The Spanish held control of Naples throughout the 17th century where it remained an important source of economic and military power for the Spanish Crown. After the War of the Spanish Succession in the early 18th century, the possession of the kingdom again changed hands; the 1714 Treaty of Rastatt saw Naples given to Charles VI of the Austrian Habsburgs. However, Naples and Sicily were conquered by Charles, Duke of Parma during the War of the Polish Succession in 1734, he was then installed as King of Naples and Sicily from 1735. In 1816, Naples formally unified with the island of Sicily to form the Kingdom of the Two Sicilies. The territory of the Kingdom of Naples corresponded to the current Italian regions of Campania, Calabria, Apulia, Basilicata, Abruzzo, Molise and also included some areas of today's southern and eastern Lazio. The term ""Kingdom of Naples"" is in near-universal use among historians, but it was not used officially by the government. Since the Angevins remained in power on the Italian peninsula, they kept the original name of the Kingdom of Sicily. At the end of the War of the Vespers, the Peace of Caltabellotta provided that the name of the kingdom would be Kingdom of Sicily citra Farum had become known colloquially as the Kingdom of Naples. In the late Middle Ages, it was common to distinguish the two Sicilies by noting its location relative to the rest of Italy and the Punta del Faro, i. e. , the Strait of Messina. The peninsular kingdom was known as Sicily citra Farum or al di qua del Faro , and the island kingdom was known as Sicily ultra Farum or di la del Faro. When both kingdoms came under the rule of Alfonso the Magnanimous in 1442, this usage became official, although Ferdinand I preferred the simple title King of Sicily. In the 18th century, the Neapolitan intellectual Giuseppe Maria Galanti argued that Apulia was the true ""national"" name of the kingdom. By the time of Alfonso the Magnanimous, the two kingdoms were sufficiently distinct that they were no longer seen as divisions of a single kingdom. Despite being repeatedly in personal union, they remained administratively separate. In 1816, the two kingdoms finally merged to form the Kingdom of the Two Sicilies. Naples, which was the capital of the Duchy of Naples since the 7th century, surrendered to Roger II of Sicily in 1137, and was annexed to the Kingdom of Sicily. The Normans were the first to bring political unity to southern Italy in the centuries after the failure of the Byzantine effort to reconquer Italy. The Normans established a kingdom that included southern mainland Italy and the island of Sicily, which was primarily ruled from Palermo. The title of King of Sicily was established by the Antipope Anacletus II as early as 1130 and subsequently legitimized, in 1139, by Pope Innocent II. Since the royal titles over the State had been assigned to the Normans by Innocent II, the popes, in particular Pope Innocent III and Pope Innocent IV, claimed the feudal rights of the Church State over the Kingdom. After Constance, Queen of Sicily married Henry VI, Holy Roman Emperor, the region was inherited by their son Frederick II, as King of Sicily."
Battle Of Actium,"In early 31 BC, the year of the battle, Antony and Cleopatra were temporarily stationed in Greece. Mark Antony possessed 500 ships and 70,000 infantry, and made his camp at Actium, and Octavian, with 400 ships and 80,000 infantry, arrived from the north and occupied Patrae and Corinth, where he managed to cut Antony’s southward communications with Egypt with help from Marcus Agrippa. Octavian previously gained a preliminary victory in Greece, where his navy successfully ferried troops across the Adriatic Sea under the command of Marcus Agrippa. Octavian landed on mainland Greece, opposite of the island of Corcyra and proceeded south, on land. Trapped on both land and sea, portions of Antony's army deserted and fled to Octavian's side , and Octavian's forces became comfortable enough to make preparations for battle. Antony's fleet sailed through the bay of Actium on the western coast of Greece, in a desperate attempt to break free of the naval blockade. It was there that Antony's fleet faced the much larger fleet of smaller, more manoeuvrable ships under commanders Gaius Sosius and Agrippa. Antony and his remaining forces were spared only due to a last-ditch effort by Cleopatra's fleet that had been waiting nearby. Octavian pursued them and defeated their forces in Alexandria on 1 August 30 BC—after which Antony and Cleopatra committed suicide. Octavian's victory enabled him to consolidate his power over Rome and its dominions. He adopted the title of Princeps , and in 27 BC was awarded the title of Augustus by the Roman Senate. This became the name by which he was known in later times. As Augustus, he retained the trappings of a restored Republican leader, but historians generally view his consolidation of power and the adoption of these honorifics as the end of the Roman Republic and the beginning of the Roman Empire. The alliance among Octavian, Mark Antony and Marcus Lepidus, commonly known as the Second Triumvirate, was renewed for a five-year term at Tarentum in 37 BC. However, the triumvirate broke down when Octavian saw Caesarion, the professed son of Julius Caesar and Queen Cleopatra VII of Egypt, as a major threat to his power. This occurred when Mark Antony, the other most influential member of the triumvirate, abandoned his wife, Octavian's sister Octavia Minor. Afterward he moved to Egypt to start a long-term romance with Cleopatra, becoming Caesarion's de facto stepfather. Octavian and the majority of the Roman Senate saw Antony as leading a separatist movement that threatened to break the Roman Republic's unity Octavian's prestige and, more importantly, his legions' loyalty had been boosted by Julius Caesar's legacy of 44 BC, by which he was officially adopted as Caesar's only son and the sole legitimate heir of his enormous wealth. Antony had been the most important and most successful senior officer in Caesar's army and, thanks to his military record, claimed a substantial share of the political support of Caesar's soldiers and veterans. Both Octavian and Antony had fought against their common enemies in the Liberators' civil war that followed the assassination of Caesar. After years of loyal cooperation with Octavian, Antony started to act independently, eventually arousing his rival's suspicion that he was vying to become sole master of Rome."
William Mckinley,"The family moved to Ohio when the senior McKinley was a boy, settling in New Lisbon. He met Nancy Allison there and they later married. The Allison family was of mostly English descent and among Pennsylvania's earliest settlers. The family trade on both sides was iron-making. McKinley senior operated foundries throughout Ohio, in New Lisbon, Niles, Poland, and finally Canton. The McKinley household was, like many from Ohio's Western Reserve, steeped in Whiggish and abolitionist sentiment, the latter based on the family's staunch Methodist beliefs. The younger William also followed in the Methodist tradition, becoming active in the local Methodist church at the age of sixteen. He was a lifelong pious Methodist. In 1852, the family moved from Niles to Poland, Ohio, so that their children could attend its better schools. Graduating from Poland Seminary in 1859, McKinley enrolled the following year at Allegheny College in Meadville, Pennsylvania. He was an honorary member of the Sigma Alpha Epsilon fraternity. He remained at Allegheny for one year, returning home in 1860 after becoming ill and depressed. He also studied at Mount Union College in Alliance, Ohio, as a board member. Although his health recovered, family finances declined and McKinley was unable to return to Allegheny. He began working as a postal clerk and later took a job teaching at a school near Poland, Ohio. When the Southern states seceded from the Union and the American Civil War began, thousands of men in Ohio volunteered for service. Among them were McKinley and his cousin William McKinley Osbourne, who enlisted as privates in the newly formed Poland Guards in June 1861. The men left for Columbus where they were consolidated with other small units to form the 23rd Ohio Infantry. The men were unhappy to learn that, unlike Ohio's earlier volunteer regiments, they would not be permitted to elect their officers; these would be designated by Ohio's governor, William Dennison. Dennison appointed Colonel William Rosecrans as the commander of the regiment, and the men began training on the outskirts of Columbus. McKinley quickly took to the soldier's life: he wrote a series of letters to his hometown newspaper extolling the army and the Union cause. Delays in issuance of uniforms and weapons again brought the men into conflict with their officers, but Major Rutherford B. Hayes convinced them to accept what the government had issued them; his style in dealing with the men impressed McKinley, beginning an association and friendship that would last until Hayes's death in 1893. After a month of training, McKinley and the 23rd Ohio, now led by Colonel Eliakim P. Scammon, set out for western Virginia in July 1861 as a part of the Kanawha Division. McKinley initially thought Scammon was a martinet, but when the regiment entered battle, he came to appreciate the value of their relentless drilling. Their first contact with the enemy came in September when they drove back Confederate troops at Carnifex Ferry in present-day West Virginia. Three days after the battle, McKinley was assigned to duty in the brigade quartermaster office, where he worked both to supply his regiment, and as a clerk. In November, the regiment established winter quarters near Fayetteville. McKinley spent the winter substituting for a commissary sergeant who was ill, and in April 1862 he was promoted to that rank. The regiment resumed its advance that spring with Hayes in command and fought several minor engagements against the rebel forces. That September, McKinley's regiment was called east to reinforce General John Pope's Army of Virginia at the Second Battle of Bull Run. Delayed in passing through Washington, D. C."
Ottoman War,"The Ottoman–Habsburg wars were fought from the 16th through the 18th centuries between the Ottoman Empire and the Habsburg monarchy, which was at times supported by the Kingdom of Hungary, Polish–Lithuanian Commonwealth, and Habsburg Spain. The wars were dominated by land campaigns in Hungary, including Transylvania and Vojvodina , Croatia, and central Serbia. By the 16th century, the Ottomans had become a serious threat to the European powers, with Ottoman ships sweeping away Venetian possessions in the Aegean and Ionian seas and Ottoman-supported Barbary pirates seizing Spanish possessions in the Maghreb. The Protestant Reformation, French–Habsburg rivalry and the numerous civil conflicts of the Holy Roman Empire distracted the Christians from their conflict with the Ottomans. Meanwhile, the Ottomans had to contend with the Persian Safavid Empire and to a lesser extent the Mamluk Sultanate, which was defeated and fully incorporated into the empire. Initially, Ottoman conquests in Europe made significant gains with a decisive victory at Mohács reducing around one third part of the Kingdom of Hungary to the status of an Ottoman tributary. Later, the Peace of Westphalia and the Spanish War of Succession in the 17th and 18th centuries respectively left the Austrian Empire as the sole firm possession of the House of Habsburg. After the siege of Vienna in 1683, the Habsburgs assembled a large coalition of European powers known as the Holy League, allowing them to fight the Ottomans and to regain control over Hungary. The Great Turkish War ended with the decisive Holy League victory at Zenta. The wars ended after Austria's participation in the war of 1787-1791, which Austria fought allied with Russia. Intermittent tension between Austria and the Ottoman Empire continued throughout the nineteenth century, but they never fought each other in a war and ultimately found themselves allied in World War I, in the aftermath of which both empires were dissolved. Historians have focused on the second siege of Vienna of 1683, depicting it as a decisive Austrian victory that saved Western civilization and marked the decline of the Ottoman Empire. Recent historians have taken a broader perspective, noting that the Habsburgs at the same time resisted internal separatist movements and were fighting Prussia and France for control of central Europe. The key advance made by the Europeans was an effective combined arms doctrine involving the cooperation of infantry, artillery and cavalry. Nevertheless, the Ottomans were able to maintain military parity with the Habsburgs until the middle of the eighteenth century. Historian Gunther E. Rothenberg has emphasized the non-combat dimension of the conflict, whereby the Habsburgs built up military communities that protected their borders and produced a steady flow of well-trained, motivated soldiers. While the Habsburgs were occasionally the Kings of Hungary and Emperors of the Holy Roman Empire , the wars between the Hungarians and the Ottomans included other dynasties as well. Naturally, the Ottoman Wars in Europe attracted support from the West, where the advancing and powerful Islamic state was seen as a threat to Christendom in Europe. The Crusades of Nicopolis and of Varna marked the most determined attempts by Europe to halt the Turkic advance into Central Europe and the Balkans. For a while the Ottomans were too busy trying to put down Balkan rebels such as Vlad Dracula. However, the defeat of these and other rebellious vassal states opened up Central Europe to Ottoman invasion. The Kingdom of Hungary now bordered the Ottoman Empire and its vassals."
António Manuel De Oliveira Guterres,"António Manuel de Oliveira Guterres GCC GCL is a Portuguese politician and diplomat. Since 2017, he has served as secretary-general of the United Nations, the ninth person to hold this title. A member of the Portuguese Socialist Party, Guterres served as prime minister of Portugal from 1995 to 2002. Guterres served as secretary-general of the Socialist Party from 1992 to 2002. He was elected prime minister in 1995 and announced his resignation in 2002, after his party was defeated in the 2001 Portuguese local elections. After six years governing without an absolute majority and with a poor economy, the Socialist Party did worse than expected because of losses in Lisbon and Porto, where polls indicated they had a solid lead. Eduardo Ferro Rodrigues assumed the Socialist Party leadership in January 2002, but Guterres would remain as prime minister until the general election was lost to the Social Democratic Party, led by José Manuel Barroso. Despite this defeat, polling of the Portuguese public in both 2012 and 2014 ranked Guterres the best prime minister of the previous 30 years. He served as president of the Socialist International from 1999 to 2005, and was the United Nations High Commissioner for Refugees from 2005 to 2015. Guterres was elected secretary-general in October 2016, succeeding Ban Ki-moon at the beginning of the following year and becoming the first European to hold this office since Kurt Waldheim in 1981. Guterres was born in Parede and raised in Lisbon, Portugal, the son of Virgílio Dias Guterres and Ilda Cândida dos Reis Oliveira Guterres. He attended the Camões Lyceum , where he graduated in 1965, winning the National Lyceums Award as the best student in the country. He studied physics and electrical engineering at Instituto Superior Técnico – Technical University of Lisbon in Lisbon. He graduated in 1971 and started an academic career as an assistant professor teaching systems theory and telecommunications signals, before leaving academic life to start a political career. During his university years, he joined the Group of Light, a club for young Catholics, where he met Father Vítor Melícias, a prominent Franciscan priest and church administrator who remains a close friend and confidant. Guterres's political career began in 1974, when he became a member of the Socialist Party. Shortly thereafter, he quit academic life and became a full-time politician. In the period following the Carnation Revolution of 25 April 1974 that put an end to Caetano's dictatorship, Guterres became involved in Socialist Party leadership and held the following offices: Guterres was a member of the team that negotiated the terms of Portugal's entry into the European Union in the late 1970s. He was a founding member of the Portuguese Refugee Council in 1991. In 1992, after the Socialists' third consecutive defeat in Parliamentary elections, Guterres became secretary-general of the Socialist Party and leader of the opposition during Aníbal Cavaco Silva's government. At the time, he was the party's third leader in six years. He was also selected as one of the 25 vice presidents of the Socialist International in September 1992. His election represented a break with tradition for the Socialists: not only was Guterres not associated with either the faction around then-president and former prime minister Mário Soares or the party's left wing led by Guterres's predecessor Sampaio, but he was also a devout Catholic, running counter to the party's historical secularism. He consulted with Portugal's civil society in formulating policy, meeting a range of intellectuals, scientists and entrepreneurs from across the country and the political spectrum in the run-up to the next general election."
Bombings In The Indian City Of Hyderabad,"On 21 February 2013, at around 19:00 IST, two blasts occurred in the city of Hyderabad, India. The bombs exploded in Dilsukhnagar, a crowded shopping area, within 100 metres of each other. The first explosion occurred outside a roadside eatery named A1 Mirchi, next to the Anand Tiffin Centre and opposite the Konark movie hall, followed by the second one two minutes later near the Route 107 bus stand close to the Venkatadri theatre. In December 2016, Yasin Bhatkal - the co-founder of Indian Mujahideen, Pakistani national Zia-ur-Rahman, Asadullah Akhtar , Tahaseen Akhtar, and Ajaz Shaikh were given a death-sentence by a National Investigation Agency special court for carrying out the attacks under the Arms Act, Explosive Substances Act and Prevention of Damage to Public Property Act. The first bomb went off at Anand Tiffins, located opposite Konark Theatre at around 19:02 IST. The second bomb went off at 19:06 IST between Venkatadri Theatre and Dilsukhnagar Bus Stand. According to the Hyderabad Police, the bombs were placed on bicycles. Andhra Pradesh's Director General of Police noted that Improvised Explosive Devices had been used in the two blasts to cause maximum damage. The blasts killed 18 people, which included at least three college students and at least 119 injured. A team of forensic experts from the National Investigation Agency and the National Security Guard arrived in Hyderabad on a plane provided by the Border Security Force for further investigation. Home Minister Sushilkumar Shinde claimed that the Indian government had intelligence about possible blasts, but the information wasn't specific enough to pinpoint the location of the blast site. Shinde also said that authorities had received intelligence about possible attacks in the country but no specific information as to where or when they might occur. CNN-IBN reported that an Indian Mujahideen operative named Maqbool confessed to carrying out reconnaissance of Dilsukhnagar in 2012 during interrogation by Delhi Police. Initial reports also suggested the involvement of Indian Mujahideen in the blasts. On 22 February, two First Information Reports were lodged probing the attack. One FIR was lodged at Cyberabads Saroor police station, while the second was lodged in Hyderabad. As the Hyderabad Police continued investigating in the serial blasts case, they detained six people for questioning. The NIA conducted raids at various places in Uttar Pradesh, Bihar and Maharashtra, looking for alleged terror modules. Forensic investigation revealed that the two bombs used were packed with huge amounts of iron nails and bolts and ammonium nitrate, which were held together with a copper string. Closed-circuit television footage collected from the traffic signal near the blast site revealed movements of five men who allegedly had planted explosives at the blast sites. However, the faces of the suspects were not clearly seen. Police sources later said that a Sai Baba temple in the area was the initial target of the criminal activity. However, a visit by Hyderabad police commissioner Anurag Sharma eluded them and forced them to change their target. The Andhra Pradesh government claimed that it had obtained vital clues regarding the crime and would crack the case soon. Chief Minister Kiran Kumar Reddy sent out 15 special teams of Andhra Pradesh police, consisting of 10–15 personnel each. People lodged in the Chanchalguda Central Jail were also questioned regarding the blasts. Major cities in India like Mumbai, New Delhi and Bangalore, along with states like Gujarat, Maharashtra and West Bengal were put on high alert after the blasts. The police of Andhra Pradesh were confronted with massive traffic jams when they tried to implement relief and rescue operations. Home secretary R. K."
Sacked Damietta,"The Sack of Damietta was a successful raid on the port city of Damietta on the Nile Delta by the Byzantine navy on 22–24 May 853. The city, whose garrison was absent at the time, was sacked and plundered, yielding not only many captives but also large quantities of weapons and supplies intended for the Emirate of Crete. The Byzantine attack, which was repeated in the subsequent years, shocked the Abbasid authorities, and urgent measures were taken to refortify the coasts and strengthen the local fleet, beginning a revival of the Egyptian navy that culminated in the Tulunid and Fatimid periods. During the 820s, the Byzantine Empire suffered two great losses that destroyed their naval supremacy in the Mediterranean: the beginning of the Muslim conquest of Sicily and the conquest of Crete to Andalusian exiles. These losses ushered in an era where Saracen pirates raided the Christian northern shores of the Mediterranean almost at will. The establishment of the Emirate of Crete, which became a haven for Muslim ships, opened the Aegean Sea up for raids, while their—albeit partial—control of Sicily allowed the Arabs to raid and even settle in Italy and the Adriatic shores. Several Byzantine attempts to retake Crete in the immediate aftermath of the Andalusian conquest, as well as a large-scale invasion in 842/43, failed with heavy losses. In 853 the Byzantine government tried a new approach: instead of attacking Crete directly, they tried to sever the island's lines of supply, principally from Egypt, which was, in the words of Alexander Vasiliev, ""the arsenal of the Cretan pirates"". The Arab historian al-Tabari reports that three fleets, totalling almost 300 ships, were prepared and sent on simultaneous raids of Muslim naval bases in the Eastern Mediterranean. The precise targets of the first two fleets are unknown, but the third, comprising 85 ships and 5,000 men under a commander known from Arab sources only as ""Ibn Qaṭūnā"", headed for the Egyptian coast. Various identifications have been proposed by modern scholars for ""Ibn Qaṭūnā"", but without any firm evidence. Based on the similarity of consonants in their names, Henri Grégoire variously suggested an identification with Sergios Niketiates, who however probably died in 843, and with Constantine Kontomytes. In a later work in 1952 he suggested that he might be identified with the parakoimomenos Damian, considering the Arabic name a rendering of the Byzantine title epi tou koitonos. Previously, in 1913, the Syriac scholar E. W. Brooks had suggested an identification with the strategos Photeinos. Egyptian naval defences were weak. The Egyptian fleet had declined from its Umayyad-era peak and was mostly employed in the Nile rather than in the Mediterranean. Fortifications along the coastal marches, which had been manned by volunteer garrisons, had been abandoned in the later 8th century. The Byzantines had exploited this in 811/12 and again in c. 815, launching raids against the coasts of Egypt. The Byzantine fleet arrived at Damietta on 22 May 853. The city garrison were absent at a feast for the Day of Arafah, organized by the governor Anbasah ibn Ishaq al-Dabbi in Fustat. Damietta's inhabitants fled the undefended city, which was plundered for two days and then torched by the Byzantine troops. The Byzantines carried off some six hundred Arab and Coptic women, as well as large quantities of arms and other supplies intended for Crete. The fleet then sailed east and attacked the strong fortress of Ushtum. Upon taking it, they burned the many artillery and siege engines found there before returning home."
